address,size,original_name,cohort,replacement_status,contract_status,reference_fixture_status,notes
0x800612C0,0x25C,func_800612C0,gte_32,not_started,needs_recovery,not_captured,"Reviewed #2390: hand-managed incoming s0/s1/s2/s3/s6/s7 preservation in caller-object word slots a0+0x20..0x34; saves 0x800612D8..0x800612EC, restores 0x800614EC..0x80061500; sp unchanged. GTE alone is not the basis. See notes/function-map.md."
0x8006151C,0x2C4,func_8006151C,gte_32,not_started,needs_recovery,not_captured,"Reviewed #2390: hand-managed incoming s0/s1/s2/s3/s6/s7 preservation in caller-object word slots a0+0x20..0x34; saves 0x80061534..0x80061548, restores 0x800617B0..0x800617C4; sp unchanged. GTE alone is not the basis. See notes/function-map.md."
0x800617E0,0x2A4,func_800617E0,gte_32,not_started,needs_recovery,not_captured,"Reviewed #2390: hand-managed incoming s0/s1/s2/s3/s6/s7 preservation in caller-object word slots a0+0x20..0x34; saves 0x800617F8..0x8006180C, restores 0x80061A54..0x80061A68; sp unchanged. GTE alone is not the basis. See notes/function-map.md."
0x80061A84,0x358,func_80061A84,gte_32,not_started,needs_recovery,not_captured,"Reviewed #2390: hand-managed incoming s0/s1/s2/s3/s6/s7 preservation in caller-object word slots a0+0x20..0x34; saves 0x80061A9C..0x80061AB0, restores 0x80061DAC..0x80061DC0; sp unchanged. GTE alone is not the basis. See notes/function-map.md."
0x80061DDC,0x27C,func_80061DDC,gte_32,not_started,needs_recovery,not_captured,"Reviewed #2390: hand-managed incoming s0/s1/s2/s3/s4/s5/s6/s7 preservation in caller-object word slots a0+0x20..0x3C; saves 0x80061DF4..0x80061E10, restores 0x80062020..0x8006203C; sp unchanged. GTE alone is not the basis. See notes/function-map.md."
0x80062058,0x2E4,func_80062058,gte_32,not_started,needs_recovery,not_captured,"Reviewed #2390: hand-managed incoming s0/s1/s2/s3/s4/s5/s6/s7 preservation in caller-object word slots a0+0x20..0x3C; saves 0x80062070..0x8006208C, restores 0x80062304..0x80062320; sp unchanged. GTE alone is not the basis. See notes/function-map.md."
0x8006233C,0x2C4,func_8006233C,gte_32,not_started,needs_recovery,not_captured,"Reviewed #2390: hand-managed incoming s0/s1/s2/s3/s4/s5/s6/s7 preservation in caller-object word slots a0+0x20..0x3C; saves 0x80062354..0x80062370, restores 0x800625C8..0x800625E4; sp unchanged. GTE alone is not the basis. See notes/function-map.md."
0x80062600,0x378,func_80062600,gte_32,not_started,needs_recovery,not_captured,"Reviewed #2390: hand-managed incoming s0/s1/s2/s3/s4/s5/s6/s7 preservation in caller-object word slots a0+0x20..0x3C; saves 0x80062618..0x80062634, restores 0x80062940..0x8006295C; sp unchanged. GTE alone is not the basis. See notes/function-map.md."
0x80062978,0x248,func_80062978,gte_32,not_started,needs_recovery,not_captured,"Reviewed #2390: hand-managed incoming s0/s1/s2/s3/s6/s7 preservation in caller-object word slots a0+0x20..0x34; saves 0x80062990..0x800629A4, restores 0x80062B90..0x80062BA4; sp unchanged. GTE alone is not the basis. See notes/function-map.md."
0x80062BC0,0x2B0,func_80062BC0,gte_32,not_started,needs_recovery,not_captured,"Reviewed #2390: hand-managed incoming s0/s1/s2/s3/s6/s7 preservation in caller-object word slots a0+0x20..0x34; saves 0x80062BD8..0x80062BEC, restores 0x80062E40..0x80062E54; sp unchanged. GTE alone is not the basis. See notes/function-map.md."
