kind,address,name,confidence,evidence,notes
global,0x80095638,rcossin_tbl,high,"RotMatrix, RotMatrix_gte, RotMatrixZYX_gte and RotMatrixYXZ_gte (text_063f04.s) all index it as ((|angle| & 0xFFF) << 2): a word whose low half is sin and high half cos, the sine negated for a negative angle. The native ports read it in place and reproduce the town-map camera and the card-viewer turn.","4096 {sin, cos} pairs of 1.3.12 shorts. rcossin_tbl is the Psy-Q LIBGTE name for this table; the name is inferred from the library, the layout is verified."
global,0x80094938,gPsyq_awSinQuarterTable,high,"sin_1 (0x800866E4) reads halfwords at index a for a <= 0x400, 0x800 - a up to 0x800, and the negated mirror above; rsin and rcos call sin_1 after masking to 0xFFF. sin_1 addresses the third quadrant through 0x80093938 + 2a, which is this table at index a - 0x800.","Quarter wave of sine, 0x401 halfwords. Distinct from rcossin_tbl: rsin/rcos use this one, the matrix builders the other."
global,0x800951A8,gPsyq_awSquareRootTable,high,"SquareRoot0 (0x80086E5C) normalizes its argument with the GTE leading-zero counter, indexes this table with ((normalized - 0x40) << 1) and shifts the entry by (31 - even_zero_count) >> 1, then >> 12. GsSetRefView2 and GsSetFlatLight vector lengths come out right through the native port (view test: reference point lands on the view axis at the true distance).","192 halfword entries for normalized inputs 0x40..0xFF."
global,0x800FE148,GsWSMATRIX,high,"GsSetRefView2 (0x8008AD50) builds the view matrix here from GsIDMATRIX2, the twist and the two axis rotations, stores the translated viewpoint in its t[], and returns 0; GsGetLsUnit and GsGetLwsUnit finish with GsMulCoord2(this, m).","World-to-screen matrix. The existing map row for Model_GetLightSourceMatrix (0x80059220) describes the same address as a light-source matrix: by this evidence it is the view matrix, and that row's note should be revisited."
global,0x800FE128,GsLIGHTWSMATRIX,high,"The last thing GsSetRefView2 does on success is copy the eight words of 0x800FE148 here.","Copy of the world-screen matrix kept for lighting."
global,0x800FE168,GsIDMATRIX,high,"Gssub_make_matrix (0x80086210) copies it into its output before writing one axis rotation's sine and cosine, i.e. it is the identity the rotation is laid over.","Identity matrix."
global,0x800FE188,GsIDMATRIX2,high,"GsSetRefView2 initializes the world-screen matrix from it before any rotation is applied.","Identity matrix used as the view's starting point (aspect-corrected identity in LIBGS)."
global,0x800FE0E8,gGs_LightDirectionMatrix,high,"GsSetFlatLight (0x800857F0) writes row `id` with the normalized, negated light vector ((-v << 12) / |v|) and stores the matrix back; GsSetLightMatrix (0x80085600) copies it, multiplies it by the caller's local-world matrix between PushMatrix/PopMatrix and passes the product to SetLightMatrix.","Three parallel-light directions in world space, one per row."
global,0x800FE240,GsOUT_PACKET_P,high,"GsSetWorkBase stores its argument here; GsScanUnit and GsSortUnit copy it into the driver scratch area (+0x10) and GsSortUnit refreshes that copy after every primitive driver returns; the resident DivideFT4 caller (display_object_helpers.c) passes it as the packet cursor and stores DivideFT4's return value back.","LIBGS output packet cursor."
global,0x800FE0C8,PSDCNT,high,"GsGetLwUnit, GsGetLsUnit and GsGetLwsUnit compare each coordinate's flg word with it to decide whether workm is already this frame's, and stamp flg with it after computing; libgs.c's GsSwapDispBuff port increments it and skips zero.","LIBGS frame counter used as the coordinate-cache stamp."
